Time,x (km),y (km),z (km),vx (km/sec),vy (km/sec),vz (km/sec)
0 ,6307.718207,-2059.745108,-683.572431,2.427464,6.064209,4.127853
1 ,6310.145005,-2053.672245,-679.432948,2.418978,6.066975,4.128771
2 ,6312.563302,-2047.596615,-675.292549,2.410489,6.069733,4.129683
3 ,6314.973092,-2041.518229,-671.151237,2.401996,6.072482,4.130589
4 ,6317.374375,-2035.437093,-667.009019,2.3935,6.075224,4.13149
5 ,6319.767145,-2029.353216,-662.865901,2.385,6.077957,4.132385
6 ,6322.151401,-2023.266605,-658.721888,2.376498,6.080682,4.133275
7 ,6324.527138,-2017.17727,-654.576985,2.367992,6.083399,4.134159
8 ,6326.894354,-2011.085218,-650.431199,2.359483,6.086107,4.135038
9 ,6329.253045,-2004.990458,-646.284534,2.350971,6.088808,4.135911
10 ,6331.603208,-1998.892998,-642.136997,2.342456,6.0915,4.136778
11 ,6333.94484,-1992.792845,-637.988593,2.333938,6.094184,4.13764
12 ,6336.277938,-1986.690009,-633.839327,2.325416,6.09686,4.138497
13 ,6338.602499,-1980.584497,-629.689206,2.316892,6.099527,4.139347
14 ,6340.918519,-1974.476318,-625.538235,2.308364,6.102187,4.140192
15 ,6343.225996,-1968.365479,-621.386418,2.299833,6.104838,4.141032
16 ,6345.524926,-1962.25199,-617.233763,2.291299,6.107481,4.141866
17 ,6347.815306,-1956.135858,-613.080275,2.282762,6.110116,4.142694
18 ,6350.097134,-1950.017091,-608.925959,2.274222,6.112742,4.143517
19 ,6352.370406,-1943.895699,-604.77082,2.265678,6.115361,4.144334
20 ,6354.635118,-1937.771688,-600.614865,2.257132,6.117971,4.145145
21 ,6356.891269,-1931.645067,-596.4581,2.248583,6.120573,4.145951
22 ,6359.138854,-1925.515845,-592.300529,2.240031,6.123166,4.146752
23 ,6361.377872,-1919.38403,-588.142158,2.231475,6.125752,4.147547
24 ,6363.608318,-1913.24963,-583.982993,2.222917,6.128329,4.148336
25 ,6365.83019,-1907.112653,-579.823039,2.214355,6.130898,4.149119
26 ,6368.043485,-1900.973107,-575.662303,2.205791,6.133458,4.149897
27 ,6370.2482,-1894.831002,-571.50079,2.197224,6.136011,4.150669
28 ,6372.444332,-1888.686344,-567.338505,2.188654,6.138555,4.151436
29 ,6374.631878,-1882.539143,-563.175453,2.18008,6.141091,4.152197
30 ,6376.810835,-1876.389406,-559.011642,2.171504,6.143618,4.152953
31 ,6378.9812,-1870.237142,-554.847076,2.162925,6.146138,4.153703
32 ,6381.142971,-1864.082359,-550.68176,2.154343,6.148649,4.154447
33 ,6383.296143,-1857.925066,-546.515702,2.145758,6.151151,4.155186
34 ,6385.440715,-1851.76527,-542.348905,2.13717,6.153646,4.155919
35 ,6387.576683,-1845.602981,-538.181376,2.12858,6.156132,4.156646
36 ,6389.704045,-1839.438206,-534.01312,2.119986,6.15861,4.157368
37 ,6391.822798,-1833.270953,-529.844143,2.11139,6.16108,4.158085
38 ,6393.932938,-1827.101231,-525.674451,2.102791,6.163541,4.158795
39 ,6396.034464,-1820.929049,-521.50405,2.094188,6.165994,4.1595
40 ,6398.127371,-1814.754414,-517.332944,2.085584,6.168439,4.1602
41 ,6400.211659,-1808.577335,-513.161139,2.076976,6.170875,4.160893
42 ,6402.287322,-1802.39782,-508.988642,2.068365,6.173303,4.161582
43 ,6404.35436,-1796.215877,-504.815458,2.059752,6.175723,4.162264
44 ,6406.412768,-1790.031516,-500.641592,2.051136,6.178135,4.162941
45 ,6408.462545,-1783.844743,-496.46705,2.042517,6.180538,4.163612
46 ,6410.503687,-1777.655568,-492.291837,2.033896,6.182933,4.164278
47 ,6412.536191,-1771.463999,-488.11596,2.025271,6.185319,4.164938
48 ,6414.560056,-1765.270043,-483.939424,2.016644,6.187698,4.165593
49 ,6416.575278,-1759.07371,-479.762235,2.008014,6.190067,4.166241
50 ,6418.581854,-1752.875008,-475.584398,1.999382,6.192429,4.166885
51 ,6420.579783,-1746.673946,-471.405918,1.990747,6.194782,4.167522
52 ,6422.56906,-1740.47053,-467.226803,1.982109,6.197127,4.168154
53 ,6424.549684,-1734.264771,-463.047056,1.973468,6.199464,4.16878
54 ,6426.521651,-1728.056675,-458.866684,1.964825,6.201792,4.169401
55 ,6428.48496,-1721.846252,-454.685693,1.956179,6.204112,4.170016
56 ,6430.439607,-1715.63351,-450.504088,1.947531,6.206423,4.170626
57 ,6432.38559,-1709.418457,-446.321874,1.93888,6.208726,4.171229
58 ,6434.322906,-1703.201102,-442.139058,1.930226,6.211021,4.171828
59 ,6436.251553,-1696.981453,-437.955645,1.92157,6.213308,4.17242
60 ,6438.171528,-1690.759519,-433.771641,1.912911,6.215586,4.173007
61 ,6440.082828,-1684.535307,-429.587051,1.904249,6.217855,4.173588
62 ,6441.985451,-1678.308826,-425.40188,1.895585,6.220117,4.174164
63 ,6443.879394,-1672.080084,-421.216136,1.886919,6.22237,4.174734
64 ,6445.764655,-1665.849091,-417.029823,1.87825,6.224614,4.175298
65 ,6447.641231,-1659.615854,-412.842947,1.869578,6.226851,4.175857
66 ,6449.50912,-1653.380381,-408.655513,1.860904,6.229078,4.17641
67 ,6451.368319,-1647.142681,-404.467528,1.852227,6.231298,4.176958
