Access,Access Start (UTCG),Access End (UTCG),Duration (sec),Asset Full Name
1,43305.35616,43305.35717,87.748,Anj
2,43305.3563,43305.35716,74.67,Barak
3,43305.35646,43305.35718,62.739,Barak1
4,43305.35668,43305.35747,68.16,Bag
5,43305.35707,43305.35808,87.471,Agar1
6,43305.35741,43305.35841,86.391,Alas
7,43305.35776,43305.35874,85.2,Ahi
8,43305.35795,43305.35845,43.61,Bar
9,43305.36032,43305.36131,85.78,Abad
10,43305.37433,43305.37531,85.055,Auburn
11,43305.3744,43305.37537,83.331,Australia_Plains
12,43305.37548,43305.37648,86.574,Apollo_Bay
13,43305.37562,43305.37657,81.874,Aura
14,43305.37616,43305.3771,81.319,Beaconsfield
15,43305.42206,43305.42286,69.272,Ab
16,43305.4231,43305.42405,82.803,Ab1
17,43305.42336,43305.42416,69.255,Abadan
18,43305.42355,43305.42381,22.842,Abadeh
19,43305.42429,43305.42525,82.82,Ab_Bad
20,43305.42439,43305.42537,85.078,Ab_Shirin1
21,43305.4244,43305.42512,62.496,Ab_Shirin
22,43305.42875,43305.42951,66.154,Adur
23,43305.42924,43305.4302,83.095,Alappuzha
24,43305.44009,43305.44108,85.975,Augusta
25,43305.44043,43305.44095,44.696,Arthur_River
26,43305.46798,43305.46882,72.526,Tierra_Blanca
27,43305.46891,43305.46973,71.355,Cerro
28,43305.48985,43305.49085,86.111,Abu_Zenima
29,43305.48995,43305.49045,43.429,Etan
30,43305.49182,43305.49276,81.143,Taif
31,43305.49252,43305.4933,67.381,Ad_Dam
32,43305.49255,43305.49339,72.362,Abha
